24,3,2,3,1,1,2,3,0,1
45,10,1,3,1,1,3,4,0,1
43,7,2,3,1,1,3,4,0,1
42,9,3,2,1,1,3,3,0,1
36,8,3,3,1,1,3,2,0,1
19,0,4,4,1,1,3,3,0,1
38,6,2,3,1,1,3,2,0,1
21,1,3,3,1,0,3,2,0,1
27,3,2,3,1,1,3,4,0,1
45,8,1,1,1,1,2,2,1,1
38,2,1,3,1,0,3,3,1,1
42,4,1,4,1,1,1,3,0,1
44,1,4,4,1,0,1,4,0,1
42,1,2,4,1,0,3,3,0,1
38,2,3,4,1,1,2,3,0,1
26,0,2,4,1,1,4,1,0,1
48,7,1,1,1,1,2,4,0,1
39,6,2,2,1,1,2,4,0,1
37,8,2,2,1,1,2,3,0,1
39,5,2,1,1,1,2,1,1,1
26,1,3,4,1,0,4,1,0,1
24,0,3,4,1,0,3,1,0,1
46,1,4,4,0,1,1,4,0,1
39,1,4,4,1,1,1,4,0,1
48,5,4,4,1,1,1,4,0,1
40,8,2,4,1,1,3,3,0,1
38,1,4,4,1,0,1,4,0,1
29,0,4,4,1,0,1,4,0,1
24,0,4,4,1,0,2,2,0,1
43,8,1,2,1,1,2,4,0,1
31,2,3,4,1,1,1,4,0,1
31,2,4,4,1,1,3,2,0,1
26,0,2,4,1,0,1,2,0,1
33,2,2,2,1,1,3,1,0,1
24,1,2,3,1,1,3,3,0,1
42,9,1,3,1,1,3,2,1,1
43,8,1,2,1,0,3,1,0,1
25,4,3,3,1,1,3,2,0,1
42,3,2,2,1,1,3,4,0,1
28,1,2,2,1,1,2,4,0,1
28,3,1,1,1,1,3,1,0,1
47,0,2,3,1,0,1,3,0,1
48,2,2,4,1,1,1,3,0,1
40,2,4,4,0,1,1,4,0,1
28,1,2,2,1,1,3,2,0,1
25,1,1,4,1,1,2,1,0,1
32,2,4,4,1,1,2,3,0,1
45,0,4,4,1,1,2,4,0,1
26,1,4,4,1,1,1,4,0,1
26,0,4,4,1,0,1,4,0,1
31,0,4,4,1,0,1,4,0,1
49,7,4,4,0,1,2,4,0,1
40,8,3,4,1,1,3,3,0,1
34,1,4,4,0,0,2,3,0,1
36,5,2,4,1,1,2,3,0,1
20,2,2,2,1,1,2,2,1,1
43,5,4,4,1,0,1,4,0,1
37,7,3,4,1,1,2,1,0,1
21,0,2,3,1,1,3,4,0,1
49,6,4,4,1,1,1,2,0,1
42,10,3,3,1,1,3,3,0,1
20,1,2,3,1,1,2,3,0,1
47,2,1,2,1,0,1,3,0,1
22,1,2,3,1,1,2,1,0,1
27,1,2,4,1,0,1,3,0,1
24,1,2,4,1,1,3,1,0,1
44,8,4,2,1,1,3,3,0,1
30,3,2,3,1,1,3,1,0,1
23,2,3,4,1,1,3,4,0,1
25,1,4,4,1,0,3,3,0,1
47,4,2,3,1,1,2,3,0,1
48,8,2,3,1,1,1,4,0,1
29,1,2,3,1,1,1,1,0,1
29,1,2,3,1,1,1,2,0,1
21,0,3,4,1,1,2,3,0,1
21,1,3,4,1,1,2,3,0,1
29,0,4,4,1,0,2,4,0,1
45,3,3,4,1,1,1,4,0,1
33,2,2,3,1,1,3,2,0,1
38,1,4,4,1,0,1,4,0,1
24,0,4,4,0,1,1,4,0,1
49,6,4,4,0,0,1,4,0,1
24,1,2,4,1,0,4,4,0,1
28,0,4,4,0,0,1,4,0,1
30,2,4,4,1,1,1,4,0,1
33,2,4,4,1,1,1,4,0,1
25,1,4,4,1,1,1,3,0,1
35,3,4,4,0,1,1,4,0,1
27,4,2,4,1,1,1,4,0,1
24,3,2,2,1,0,2,1,0,1
25,0,2,3,1,1,2,1,0,1
46,6,2,4,1,1,1,4,0,1
26,3,2,2,1,1,2,1,0,1
38,1,2,2,1,0,3,2,0,1
